Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric,130.8,-84.6,0.0,top
C2,100n,C_0805_2012Metric,132.0,-81.8,-90.0,top
D1,RED,LED_0805_2012Metric,119.4,-83.4,180.0,top
FB1,30ohm,R_0805_2012Metric,130.0,-81.8,90.0,top
J1,XH/4P/2.5,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,103.6,-76.0,-90.0,top
J2,XH/4P/2.5,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,121.0,-68.0,0.0,top
JP1,LED,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,119.4,-85.8,180.0,top
JP2,SCX,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,125.2,-86.0,-90.0,top
JP3,SDX,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,122.6,-86.0,-90.0,top
R1,1K,R_0805_2012Metric,116.0,-83.4,0.0,top
R2,4.7K,R_0805_2012Metric,115.2,-75.0,-90.0,top
R3,10K,R_0805_2012Metric,127.6,-76.2,180.0,top
R4,4.7K,R_0805_2012Metric,115.2,-79.4,90.0,top
R5,100K,R_0805_2012Metric,118.4,-80.4,90.0,top
R6,100K (NC),R_0805_2012Metric,120.4,-80.4,-90.0,top
TP1,INT1,TestPoint_Keystone_5000-5004_Miniature,137.2,-84.0,0.0,top
TP2,INT2,TestPoint_Keystone_5000-5004_Miniature,137.2,-80.6,0.0,top
U1,LSM6DS3,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,125.0,-80.0,0.0,top
